freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,2010-Q1 ,2010-Q2 ,2010-Q3 ,2010-Q4 ,2011-Q1 ,2011-Q2 ,2011-Q3 ,2011-Q4 ,2012-Q1 ,2012-Q2 ,2012-Q3 ,2012-Q4 ,2013-Q1 ,2013-Q2 ,2013-Q3 ,2013-Q4 ,2014-Q1 ,2014-Q2 ,2014-Q3 ,2014-Q4 ,2015-Q1 ,2015-Q2 ,2015-Q3 ,2015-Q4 ,2016-Q1 ,2016-Q2 ,2016-Q3 ,2016-Q4 ,2017-Q1 ,2017-Q2 ,2017-Q3 ,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 ,2020-Q4 ,2021-Q1 ,2021-Q2 ,2021-Q3 ,2021-Q4 ,2022-Q1 ,2022-Q2 ,2022-Q3 ,2022-Q4 ,2023-Q1 
Q,CSTO,CPA_F41001_X_410014,NSA,I15,AT,88.3,88.8,89.5,89.7,90.8,91.6,91.9,92.1,93,93.9,94.2,94.6,95.5,96.2,96.5,96.7,97.7,98.4,98.7,98.9,99.4,100,100.3,100.3,101.1,101.7,102,102.3,103.3,104.3,105,105.6,107.2,108.2,108.9,109.4,111,111.9,112.4,112.8,114.5,115.5,116.1,116.3,118.7,123.8,127.2,129.6,134.8,142.8,147.3,149.2,: 
Q,CSTO,CPA_F41001_X_410014,NSA,I15,BE,91.1,91.5,91.7,92.4,94.4,94.7,95.8,96.3,96.9,97.3,97.2,96.8,96.6,96.6,97.8,98.2,98.4,98.3,98.5,98.7,99.6,99.8,100.2,100.4,101.2,101.5,101.6,102.1,102.4,102.4,103.2,103.6,104.6,104.9,105.8,106.5,107.5,107.8,108.2,108.6,109.2,109.7,110.2,110.4,112,115.1,117.5,120.2,126.4,130.2,134.8,137.3,: 
Q,CSTO,CPA_F41001_X_410014,NSA,I15,IE,97.8,99.4,100,99.9,97.7,96.6,97,97.1,97.4,98.1,98.4,98.4,98.7,98.8,99,99,98.8,99.4,99.9,100,99.6,100.1,100.2,100.1,99.9,100.3,100.5,100.8,101.1,101.7,102,102,102.1,106.8,107.2,107,107.6,107.9,107.9,109.2,109.3,109.5,109.5,109.3,110,114,117.6,119.5,122,126.5,130.5,131.4,133.2
Q,CSTO,CPA_F41001_X_410014,NSA,I15,NO,84.6 s,85.7 s,86.1 s,86.9 s,87.9 s,88.8 s,89.2 s,90.0 s,90.8 s,91.5 s,92.0 s,92.7 s,93.4 s,94.0 s,94.7 s,95.3 s,96.1 s,97.5 s,98.0 s,98.4 s,99.2 s,99.9 s,100.3 s,100.6 s,101.3 s,102.8 s,103.4 s,103.9 s,104.5 s,105.1 s,105.4 s,106.4 s,107.3 s,108.3 s,109.2 s,110.1 s,110.6 s,111.5 s,112.0 s,112.4 s,112.8 s,114.1 s,114.9 s,115.3 s,116.9 s,121.3 s,127.6 s,131.2 s,131.7 s,134.2 s,136.6 s,138.3 s,139.4 s
