freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2010-Q1 ,2010-Q2 ,2010-Q3 ,2010-Q4 ,2011-Q1 ,2011-Q2 ,2011-Q3 ,2011-Q4 ,2012-Q1 ,2012-Q2 ,2012-Q3 ,2012-Q4 ,2013-Q1 ,2013-Q2 ,2013-Q3 ,2013-Q4 ,2014-Q1 ,2014-Q2 ,2014-Q3 ,2014-Q4 ,2015-Q1 ,2015-Q2 ,2015-Q3 ,2015-Q4 ,2016-Q1 ,2016-Q2 ,2016-Q3 ,2016-Q4 ,2017-Q1 ,2017-Q2 ,2017-Q3 ,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 ,2020-Q4 ,2021-Q1 ,2021-Q2 ,2021-Q3 ,2021-Q4 ,2022-Q1 ,2022-Q2 ,2022-Q3 ,2022-Q4 ,2023-Q1 
Q,EMPL,F,NSA,I15,AT,87.3,102.6,106,100.3,89.9,104.3,108,102.9,90.9,106.3,110,104.9,90.5,106.5,109.9,104.9,90.7,104.6,107.6,102.8,88.9,103.2,106.4,101.5,89.1,103.1,106,103,92.1,106.4,109.3,104.8,96.2,110.6,114.1,109.9,103.6,115.9,118.7,114.7,105.7,116,121.5,116.9,110.8,122.6,124.7,119.9,115.5,125,126.5,121.7,: 
Q,EMPL,F,NSA,I15,BE,98.8,99.4,100.2,100.7,101.3,101.7,102.6,103,102.9,103.1,103.4,103,102.7,102.3,102.2,100.9,100.8,100.6,100.7,100.2,99.9,100,100.1,100.1,100.8,101.3,101.7,101.8,103.2,103.8,103.7,103.9,105.7,105.9,106.3,107.6,108.7,109.1,109.6,109.2,108.4,107.4,108.1,108.2,109.1,113,113.9,114.3 p,115.8 p,116.0 p,116.3 p,: c,: 
Q,EMPL,F,NSA,I15,IE,98,92.6,86.1,79.6,80.9,80.9,83.2,83.2,78.3,73.5,76.1,76.3,69,78.9,80.2,77,77.7,82.6,89.2,91.3,96.3,99,102.4,102.4,107,115.4,115.5,118.9,125,123.4,120,126.1,130,139.3,144.5,140.3,139.5,147.2,147.2,150.1,148.2,126.1,141.4,140.6,130.5,131.2,148.3,163.7,165.4,168.3,176.7,168.5 p,: 
Q,EMPL,F,NSA,I15,NO,83.1,83.6,85.9,86.2,85,86.6,89.3,90.7,89.7,91.5,94.3,95.8,94.1,95.1,96,97.1,95.4,96.6,98.5,100.2,95.9,98.7,102.1,103.2,98,101.1,105,106.7,102.7,105.2,109.3,110.8,106.1,109,113.2,114.8,110.4,112.9,116.4,116.9,112.3,112.4,115.1,115.7,111.3 p,112.3 p,116.4 p,118.8 p,115.8 p,118.6 p,122.7 p,122.6 p,: 
