apnid,APPEAL_NOTIFIED_DATE,APPEAL_DEC_DATE,APPEAL_DECISION,APPEAL_TYPE
3040/17,23-02-2018,21-11-2018,GRANT PERMISSION,Written Evidence
WEB1283/17,24-08-2017,08-02-2018,GRANT PERMISSION,Written Evidence
3056/17,17-08-2017,20-03-2018,REFUSE PERMISSION,Written Evidence
3059/17,21-12-2017,10-07-2018,SPLIT DECISION,Written Evidence
3071/17,25-10-2017,28-02-2018,GRANT PERMISSION,Written Evidence
3072/17,27-03-2018,05-12-2018,GRANT PERMISSION,Written Evidence
3069/17,17-11-2017,03-05-2018,GRANT PERMISSION,Written Evidence
WEB1290/17,30-08-2017,28-08-2017,APPEAL DECLARED INVALID,Written Evidence
WEB1291/17,29-08-2017,14-12-2017,AMEND CONDITIONS,Written Evidence
3077/17,14-11-2017,13-09-2018,GRANT PERMISSION,Written Evidence
3079/17,06-09-2017,19-10-2017,REMOVE CONDITIONS,Written Evidence
3084/17,28-08-2017,24-01-2018,GRANT PERMISSION,Written Evidence
3098/17,NULL,09-11-2017,LEAVE TO APPEAL REFUSED,Leave to Appeal
3087/17,30-08-2017,07-02-2018,GRANT PERMISSION,Written Evidence
3110/17,05-09-2017,09-01-2018,SPLIT DECISION,Written Evidence
3112/17,23-01-2018,24-01-2018,APPEAL WITHDRAWN,Written Evidence
3109/17,31-08-2017,07-03-2018,GRANT PERMISSION,Written Evidence
3114/17,04-09-2017,08-12-2017,GRANT PERMISSION,Written Evidence
3127/17,05-09-2017,12-02-2018,REFUSE PERMISSION,Written Evidence
3135/17,05-09-2017,21-09-2017,APPEAL WITHDRAWN,Written Evidence
3136/17,20-10-2017,06-03-2018,APPEAL WITHDRAWN,Written Evidence
3150/17,05-09-2017,21-05-2018,GRANT PERMISSION,Written Evidence
3153/17,24-11-2017,30-05-2018,GRANT PERMISSION,Written Evidence
3159/17,27-10-2017,04-07-2018,GRANT PERMISSION,Written Evidence
3173/17,08-09-2017,28-03-2018,REFUSE PERMISSION,Written Evidence
3183/17,13-09-2017,09-02-2018,REFUSE PERMISSION,Written Evidence
3176/17,08-09-2017,17-01-2018,GRANT PERMISSION,Written Evidence
3179/17,08-09-2017,10-10-2017,APPEAL WITHDRAWN,Written Evidence
3188/17,23-02-2018,06-09-2018,GRANT PERMISSION,Written Evidence
3185/17,13-09-2017,17-04-2018,GRANT PERMISSION,Written Evidence
WEB1314/17,08-09-2017,06-12-2017,ATTACH CONDITIONS,Written Evidence
3209/17,15-09-2017,22-03-2018,REMOVE CONDITIONS,Written Evidence
3215/17,13-09-2017,17-01-2018,AMEND CONDITIONS,Written Evidence
3213/17,13-09-2017,20-12-2017,REMOVE CONDITIONS,Written Evidence
3223/17,07-12-2017,25-05-2018,REFUSE PERMISSION,Written Evidence
3232/17,07-12-2017,28-05-2018,GRANT PERMISSION,Written Evidence
WEB1326/17,19-09-2017,09-02-2018,GRANT PERMISSION,Written Evidence
WEB1327/17,14-09-2017,05-01-2018,GRANT PERMISSION,Written Evidence
3246/17,19-09-2017,16-11-2017,APPEAL WITHDRAWN,Written Evidence
3247/17,19-09-2017,10-01-2018,GRANT PERMISSION,Written Evidence
3248/17,19-09-2017,20-12-2017,GRANT PERMISSION,Written Evidence
3249/17,19-09-2017,21-05-2018,GRANT PERMISSION,Written Evidence
3252/17,15-09-2017,18-12-2017,GRANT PERMISSION,Written Evidence
3263/17,15-09-2017,28-05-2018,GRANT PERMISSION,Written Evidence
3280/17,15-09-2017,02-02-2018,REFUSE PERMISSION,Written Evidence
3293/17,22-09-2017,21-12-2017,GRANT PERMISSION,Written Evidence
3304/17,20-09-2017,05-01-2018,GRANT PERMISSION,Written Evidence
3323/17,15-12-2017,12-07-2018,GRANT PERMISSION,Written Evidence
3308/17,25-09-2017,29-06-2018,REFUSE PERMISSION,Written Evidence
3320/17,28-09-2017,24-04-2018,ATTACH CONDITIONS,Written Evidence
3319/17,29-03-2018,25-07-2018,GRANT PERMISSION,Written Evidence
3333/17,19-09-2017,01-05-2018,GRANT PERMISSION,Written Evidence
3355/17,29-09-2017,09-03-2018,GRANT PERMISSION,Written Evidence
WEB1349/17,22-09-2017,06-12-2017,GRANT PERMISSION,Written Evidence
3387/17,03-10-2017,12-03-2018,GRANT PERMISSION,Written Evidence
3397/17,05-10-2017,05-02-2018,GRANT PERMISSION,Written Evidence
3395/17,09-08-2018,21-05-2019,GRANT PERMISSION,Written Evidence
3392/17,03-10-2017,31-01-2018,GRANT PERMISSION,Written Evidence
3400/17,04-10-2017,07-02-2018,GRANT PERMISSION,Written Evidence
3415/17,09-10-2017,26-02-2018,REFUSE PERMISSION,Written Evidence
3409/17,06-10-2017,18-01-2018,REMOVE CONDITIONS,Written Evidence
3412/17,08-12-2017,12-06-2018,APPEAL WITHDRAWN,Written Evidence
WEB1371/17,11-10-2017,14-12-2017,GRANT PERMISSION,Written Evidence
3428/17,06-10-2017,07-02-2018,REFUSE PERMISSION,Written Evidence
WEB1372/17,03-10-2017,25-01-2018,GRANT PERMISSION,Written Evidence
3441/17,12-10-2017,08-02-2018,REFUSE PERMISSION,Written Evidence
3455/17,12-10-2017,07-03-2018,GRANT PERMISSION,Written Evidence
3457/17,13-10-2017,17-05-2018,GRANT PERMISSION,Written Evidence
3468/17,06-03-2018,02-07-2018,GRANT PERMISSION,Written Evidence
3476/17,13-10-2017,07-12-2017,REFUSE PERMISSION,Written Evidence
WEB1381/17,17-10-2017,07-02-2018,AMEND CONDITIONS,Written Evidence
3496/17,07-12-2017,11-10-2018,GRANT PERMISSION,Written Evidence
3491/17,20-11-2017,05-03-2018,GRANT RETENTION PERMISSION,Written Evidence
3499/17,02-01-2018,30-04-2018,ATTACH CONDITIONS,Written Evidence
3500/17,19-10-2017,25-01-2018,GRANT PERMISSION,Written Evidence
3505/17,20-10-2017,05-03-2018,GRANT PERMISSION,Written Evidence
3538/17,02-01-2018,08-10-2018,GRANT PERMISSION,Written Evidence
3536/17,06-10-2017,07-02-2018,REFUSE PERMISSION,Written Evidence
3539/17,13-02-2018,29-08-2018,GRANT PERMISSION,Written Evidence
3541/17,23-10-2017,09-02-2018,SPLIT DECISION,Written Evidence
3546/17,20-10-2017,31-01-2018,GRANT PERMISSION,Written Evidence
3559/17,24-10-2017,18-01-2018,GRANT PERMISSION,Written Evidence
3561/17,23-10-2017,19-01-2018,ATTACH CONDITIONS,Written Evidence
3583/17,31-10-2017,21-02-2018,ATTACH CONDITIONS,Written Evidence
3596/17,03-11-2017,27-11-2017,APPEAL DECLARED INVALID,Written Evidence
3606/17,15-03-2018,02-05-2018,APPEAL WITHDRAWN,Written Evidence
3619/17,02-11-2017,26-03-2018,GRANT PERMISSION,Written Evidence
3620/17,02-11-2017,31-05-2018,GRANT PERMISSION,Written Evidence
3626/17,03-11-2017,11-04-2018,REFUSE PERMISSION,Written Evidence
3633/17,23-10-2017,02-02-2018,GRANT PERMISSION,Written Evidence
3637/17,01-02-2018,16-07-2018,GRANT PERMISSION,Written Evidence
3629/17,12-03-2018,12-11-2018,GRANT PERMISSION,Written Evidence
3640/17,31-10-2017,21-02-2018,REFUSE PERMISSION,Written Evidence
3645/17,10-11-2017,16-07-2018,GRANT PERMISSION,Written Evidence
3651/17,14-11-2017,20-03-2018,GRANT RETENTION PERMISSION,Written Evidence
WEB1424/17,17-11-2017,14-03-2018,REMOVE CONDITIONS,Written Evidence
3668/17,10-11-2017,22-02-2018,GRANT PERMISSION,Written Evidence
3671/17,24-01-2018,21-11-2018,GRANT PERMISSION,Written Evidence
3674/17,14-11-2017,16-07-2018,GRANT PERMISSION,Written Evidence
3686/17,09-04-2018,29-11-2018,GRANT PERMISSION & RETENTION PERMISSION,Written Evidence
3690/17,16-11-2017,09-03-2018,SPLIT DECISION,Written Evidence
3703/17,13-02-2018,05-09-2018,REFUSE PERMISSION,Written Evidence
3710/17,15-11-2017,17-05-2018,GRANT PERMISSION,Written Evidence
3728/17,02-11-2017,22-02-2018,GRANT PERMISSION,Written Evidence
WEB1443/17,20-11-2017,27-03-2018,GRANT RETENTION PERMISSION,Written Evidence
3734/17,24-11-2017,06-04-2018,REFUSE PERMISSION,Written Evidence
3735/17,28-11-2017,23-04-2018,GRANT PERMISSION,Written Evidence
3747/17,27-11-2017,02-05-2018,REFUSE PERMISSION,Written Evidence
3754/17,28-11-2017,13-04-2018,REFUSE PERMISSION,Written Evidence
3755/17,23-11-2017,05-03-2018,GRANT PERMISSION,Written Evidence
3758/17,21-11-2017,11-01-2018,APPEAL DECLARED INVALID,Written Evidence
WEB1473/17,14-03-2018,15-08-2018,GRANT PERMISSION,Written Evidence
3769/17,30-11-2017,19-07-2018,GRANT PERMISSION,Written Evidence
3764/17,24-11-2017,11-04-2018,GRANT PERMISSION,Written Evidence
3778/17,30-01-2018,11-06-2018,APPEAL WITHDRAWN,Written Evidence
3777/17,26-04-2018,06-02-2020,REFUSE PERMISSION,Written Evidence
3781/17,16-05-2018,26-10-2018,GRANT PERMISSION,Written Evidence
3784/17,28-11-2017,27-03-2018,AMEND CONDITIONS,Written Evidence
3794/17,28-11-2017,25-04-2018,REMOVE CONDITIONS,Written Evidence
3810/17,06-12-2017,10-12-2018,GRANT PERMISSION,Written Evidence
3819/17,06-12-2017,16-05-2018,GRANT PERMISSION,Written Evidence
3850/17,08-12-2017,12-06-2018,GRANT PERMISSION,Written Evidence
3851/17,08-12-2017,16-07-2018,REFUSE PERMISSION,Written Evidence
3853/17,25-07-2018,24-10-2018,GRANT PERMISSION,Written Evidence
3855/17,23-03-2018,17-07-2018,APPEAL WITHDRAWN,Written Evidence
3858/17,28-03-2018,16-08-2018,GRANT PERMISSION,Written Evidence
3864/17,07-12-2017,28-05-2018,SPLIT DECISION,Written Evidence
3871/17,15-12-2017,22-05-2018,GRANT PERMISSION,Written Evidence
3881/17,20-04-2018,11-10-2018,AMEND CONDITIONS,Written Evidence
WEB1499/17,03-05-2018,22-08-2018,GRANT PERMISSION,Written Evidence
WEB1503/17,06-12-2017,27-03-2018,GRANT PERMISSION,Written Evidence
3906/17,08-03-2018,01-04-2019,REFUSE PERMISSION,Written Evidence
3915/17,11-12-2017,23-04-2018,ATTACH CONDITIONS,Written Evidence
3922/17,11-12-2017,05-01-2018,APPEAL WITHDRAWN,Written Evidence
3923/17,22-05-2018,29-11-2018,REFUSE PERMISSION,Written Evidence
3930/17,13-12-2017,26-07-2018,REFUSE PERMISSION,Written Evidence
3945/17,02-01-2018,13-08-2018,GRANT PERMISSION,Written Evidence
3943/17,13-02-2018,05-11-2018,REFUSE PERMISSION,Written Evidence
3944/17,21-12-2017,01-10-2018,REFUSE PERMISSION,Written Evidence
3950/17,22-12-2017,27-04-2018,REFUSE PERMISSION,Written Evidence
3952/17,07-12-2017,03-04-2018,REMOVE CONDITIONS,Written Evidence
3969/17,04-01-2018,16-03-2018,APPEAL WITHDRAWN,Written Evidence
3970/17,08-03-2018,27-09-2018,GRANT PERMISSION,Written Evidence
3986/17,03-01-2018,23-07-2018,GRANT PERMISSION,Written Evidence
3975/17,08-01-2018,18-04-2018,REFUSE RETENTION PERMISSION,Written Evidence
3974/17,08-01-2018,27-07-2018,GRANT PERMISSION,Written Evidence
3982/17,04-01-2018,02-05-2018,REFUSE PERMISSION,Written Evidence
3977/17,30-04-2018,23-11-2018,GRANT PERMISSION,Written Evidence
3985/17,15-08-2018,26-02-2019,GRANT PERMISSION,Written Evidence
3976/17,04-01-2018,22-01-2018,APPEAL WITHDRAWN,Written Evidence
3990/17,02-01-2018,06-07-2018,GRANT PERMISSION,Written Evidence
4000/17,09-01-2018,08-05-2018,REFUSE PERMISSION,Written Evidence
3998/17,21-12-2017,08-08-2018,GRANT PERMISSION,Written Evidence
4008/17,03-01-2018,14-06-2018,REFUSE PERMISSION,Written Evidence
4009/17,25-06-2018,21-11-2018,GRANT PERMISSION,Written Evidence
4016/17,24-04-2018,04-02-2019,GRANT PERMISSION,Written Evidence
4023/17,07-03-2018,31-08-2018,GRANT PERMISSION,Written Evidence
4043/17,23-01-2018,17-07-2018,REFUSE PERMISSION,Written Evidence
4036/17,13-04-2018,10-01-2019,REMOVE CONDITIONS,Written Evidence
4030/17,25-06-2018,12-11-2018,GRANT PERMISSION,Written Evidence
4044/17,12-01-2018,26-04-2018,REFUSE PERMISSION,Written Evidence
4040/17,19-06-2018,26-10-2018,GRANT PERMISSION,Written Evidence
WEB1525/17,18-01-2018,27-02-2018,APPLICATION WITHDRAWN,Written Evidence
4063/17,10-08-2018,28-01-2019,GRANT PERMISSION,Written Evidence
4073/17,17-01-2018,15-05-2018,REFUSE RETENTION PERMISSION,Written Evidence
4074/17,17-01-2018,02-05-2018,REFUSE PERMISSION,Written Evidence
4077/17,15-01-2018,10-05-2018,GRANT PERMISSION,Written Evidence
4086/17,09-01-2018,21-05-2018,GRANT PERMISSION,Written Evidence
WEB1538/17,12-01-2018,14-05-2018,REFUSE PERMISSION,Written Evidence
WEB1540/17,29-03-2018,06-09-2018,GRANT PERMISSION,Written Evidence
4090/17,18-01-2018,09-10-2018,GRANT PERMISSION,Written Evidence
4095/17,25-01-2018,02-08-2018,REFUSE PERMISSION,Written Evidence
4110/17,19-04-2018,12-12-2018,GRANT PERMISSION,Written Evidence
4115/17,30-01-2018,18-07-2018,GRANT PERMISSION,Written Evidence
4127/17,14-05-2018,05-12-2018,REFUSE PERMISSION,Written Evidence
WEB1544/17,02-02-2018,03-08-2018,REMOVE CONDITIONS,Written Evidence
WEB1548/17,02-02-2018,28-05-2018,REMOVE CONDITIONS,Written Evidence
4141/17,30-01-2018,09-10-2018,REFUSE PERMISSION,Written Evidence
4146/17,30-01-2018,01-10-2018,REMOVE CONDITIONS,Written Evidence
4156/17,29-01-2018,16-07-2018,GRANT PERMISSION,Written Evidence
4160/17,29-05-2018,03-12-2018,REFUSE PERMISSION,Written Evidence
4168/17,01-08-2018,21-11-2018,REFUSE PERMISSION,Written Evidence
4178/17,01-02-2018,16-05-2018,AMEND CONDITIONS,Written Evidence
4181/17,15-02-2018,30-07-2018,REFUSE PERMISSION,Written Evidence
4185/17,22-03-2018,04-09-2018,GRANT PERMISSION,Written Evidence
4188/17,12-02-2018,25-09-2018,GRANT PERMISSION,Written Evidence
4194/17,08-02-2018,03-10-2018,REFUSE PERMISSION,Written Evidence
4199/17,06-03-2018,23-07-2018,GRANT PERMISSION,Written Evidence
4201/17,30-01-2018,16-05-2018,GRANT PERMISSION,Written Evidence
4220/17,13-02-2018,04-07-2018,REFUSE PERMISSION,Written Evidence
4211/17,14-02-2018,15-08-2018,REFUSE PERMISSION,Written Evidence
4237/17,14-02-2018,10-08-2018,GRANT PERMISSION,Written Evidence
4245/17,14-05-2018,06-11-2018,GRANT PERMISSION,Written Evidence
4244/17,14-02-2018,21-05-2018,GRANT PERMISSION,Written Evidence
4242/17,13-02-2018,22-10-2018,GRANT PERMISSION,Written Evidence
4239/17,12-02-2018,14-08-2018,REFUSE PERMISSION,Written Evidence
4249/17,22-02-2018,08-06-2018,GRANT PERMISSION,Written Evidence
4252/17,22-02-2018,03-09-2018,GRANT PERMISSION,Written Evidence
4264/17,12-02-2018,06-07-2018,GRANT PERMISSION,Written Evidence
4266/17,10-07-2018,06-11-2018,APPEAL WITHDRAWN,Written Evidence
4273/17,14-02-2018,09-07-2018,GRANT PERMISSION,Written Evidence
4287/17,22-02-2018,15-06-2018,REFUSE PERMISSION,Written Evidence
4278/17,13-02-2018,07-09-2018,GRANT PERMISSION,Written Evidence
4284/17,05-07-2018,21-01-2019,GRANT PERMISSION,Written Evidence
4292/17,04-07-2018,13-02-2019,ATTACH CONDITIONS,Written Evidence
4317/17,31-05-2018,06-09-2018,GRANT PERMISSION,Written Evidence
4323/17,21-06-2018,20-05-2019,REFUSE PERMISSION,Written Evidence
4325/17,05-04-2018,30-07-2018,REFUSE PERMISSION,Written Evidence
4327/17,25-07-2018,21-12-2018,AMEND CONDITIONS,Written Evidence
WEB1585/17,05-03-2018,16-08-2018,GRANT PERMISSION,Written Evidence
4342/17,23-02-2018,03-09-2018,GRANT PERMISSION,Written Evidence
4343/17,23-02-2018,03-09-2018,GRANT PERMISSION,Written Evidence
4349/17,22-02-2018,15-06-2018,REFUSE PERMISSION,Written Evidence
4356/17,22-02-2018,31-10-2018,GRANT PERMISSION,Written Evidence
4353/17,23-02-2018,21-01-2019,GRANT PERMISSION,Written Evidence
4362/17,22-02-2018,14-06-2018,GRANT RETENTION PERMISSION,Written Evidence
4363/17,12-09-2018,23-01-2019,REFUSE PERMISSION,Written Evidence
4365/17,14-06-2018,26-09-2018,GRANT PERMISSION,Written Evidence
4368/17,23-02-2018,04-09-2018,GRANT PERMISSION,Written Evidence
WEB1593/17,13-03-2018,18-06-2018,REMOVE CONDITIONS,Written Evidence
4378/17,09-03-2018,07-09-2018,REFUSE PERMISSION,Written Evidence
4384/17,05-03-2018,20-07-2018,GRANT PERMISSION,Written Evidence
4386/17,20-06-2018,13-12-2018,GRANT PERMISSION,Written Evidence
4390/17,09-03-2018,10-09-2018,GRANT PERMISSION,Written Evidence
4388/17,09-03-2018,07-08-2018,REFUSE PERMISSION,Written Evidence
4400/17,13-03-2018,28-08-2018,REFUSE PERMISSION,Written Evidence
4407/17,06-03-2018,24-07-2018,GRANT PERMISSION,Written Evidence
4411/17,05-03-2018,18-07-2018,REFUSE PERMISSION,Written Evidence
4412/17,16-05-2018,09-11-2018,GRANT PERMISSION,Written Evidence
4416/17,27-08-2018,28-01-2019,REMOVE CONDITIONS,Written Evidence
4418/17,13-03-2018,31-10-2018,REFUSE PERMISSION,Written Evidence
4420/17,13-03-2018,19-09-2018,GRANT PERMISSION,Written Evidence
4421/17,13-03-2018,23-08-2018,APPLICATION WITHDRAWN,Written Evidence
4425/17,15-03-2018,01-08-2018,AMEND CONDITIONS,Written Evidence
4440/17,13-03-2018,20-07-2018,REFUSE PERMISSION,Written Evidence
4431/17,15-03-2018,20-07-2018,GRANT PERMISSION,Written Evidence
4438/17,15-03-2018,29-06-2018,REFUSE PERMISSION,Written Evidence
4433/17,18-04-2018,19-07-2018,AMEND CONDITIONS,Written Evidence
4429/17,31-05-2018,29-11-2018,GRANT PERMISSION,Written Evidence
WEB1612/17,15-03-2018,13-08-2018,REMOVE CONDITIONS,Written Evidence
4447/17,16-03-2018,13-08-2018,AMEND CONDITIONS,Written Evidence
4456/17,06-06-2018,19-11-2018,GRANT PERMISSION,Written Evidence
4465/17,16-03-2018,03-07-2018,REFUSE RETENTION PERMISSION,Written Evidence
4475/17,13-03-2018,20-08-2018,REFUSE PERMISSION,Written Evidence
4487/17,15-03-2018,16-07-2018,GRANT PERMISSION,Written Evidence
4495/17,18-01-2019,14-05-2019,GRANT PERMISSION,Written Evidence
